channel_type,utm_source,utm_medium,utm_campaign,deals,apply_oku,payment_oku,yield_pct,won_rate,paid_rate
new,toss.join,partner,toss.join_inapppage_btn,16338,429.935,63.792,14.84,72.8,72.3
remind,alrimtalk,crm,kakaoalrimktalk_notapply,3017,97.125,13.561,13.96,68.6,68.1
remind,alrimtalk,crm,recurring_2024,2348,60.606,9.615,15.86,87.8,87.3
new,kakaobank,paid_display,kakaobank_hometop_big,2123,50.39,7.178,14.24,75.7,75.3
remind,sms,sms,no_check_refund_amount,981,49.371,4.921,9.97,67.1,66.6
remind,sms,sms,link_simple_application,236,44.377,5.198,11.71,68.2,65.7
new,kbcardlms,paid_msg,kbcard_franchise,1198,42.374,4.989,11.77,68.5,67.8
remind,alrimtalk,crm,kakaoalrimtalk_notlookup,1398,38.58,5.44,14.1,65.4,64.9
remind,kakaochannel,(none),kakaochannel_taxrefund_btn,1223,37.193,4.84,13.01,71.2,70.7
new,google.adwords,paid_display,google_pmax_250401,1049,32.236,3.126,9.7,64.2,63.7
new,kbcardlms,paid_msg,kbcard_enterprisecard,607,29.656,3.746,12.63,70.8,70.7
new,hanacardlms,paid_msg,hanacard_franchise,666,23.856,2.448,10.26,66.5,66.2
new,partner,affillates,k_bank,678,23.046,2.678,11.62,72.7,72.3
new,banksalad,partner,banksalad_cpa_bridgepage_btnclick,405,22.418,2.449,10.92,65.4,65.4
new,wooricardlms,paid_msg,wooricard_franchise,686,22.213,2.651,11.93,68.1,67.8
new,shinhancardlms,paid_msg,shinhancard_enterprisecard,1129,19.697,2.882,14.63,83.3,83.2
remind,alrimtalk,crm,kakaoalrimktalk_p_lookupd1_apply_vip,183,17.831,1.971,11.05,49.2,49.2
new,hanacardlms,paid_msg,hanacard_entrepreneur,554,17.013,2.187,12.85,71.1,70.9
new,okpos,paid_display,okpos_inappbanner,368,15.319,1.629,10.63,61.1,60.6
remind,alrimtalk,crm,kakaoalrimtalk_cancellation,492,14.02,1.794,12.8,72.8,72.6
new,shinhancardlms,paid_msg,shinhancard_franchise,341,13.769,1.277,9.27,69.8,69.8
remind,sms,sms,re_refund_apply,235,13.407,1.409,10.51,71.1,70.2
remind,alrimtalk,crm,kakaoalrimktalk_lookupd6_apply,429,12.166,1.889,15.53,74.1,73.4
remind,alrimtalk,crm,kakaoalrimktalk_signupd1_lookup,374,11.472,1.859,16.2,71.4,70.9
new,zeropay,partner,zeropay_lms_applydetarget.old10,497,11.128,1.563,14.05,71.8,71.6
remind,alrimtalk,crm,kakaoalrimktalk_corps_notapply,158,10.101,0.504,4.99,23.4,22.8
new,bznav.homepage,organic,bznav_homepage_to_refund,194,9.752,1.137,11.66,57.7,57.2
remind,alrimtalk,crm,notapply_payingcustomers_dannyeondo,393,9.667,1.755,18.15,80.2,80.2
new,app_bznav,organic,bznav_app_to_refund,180,9.357,1.009,10.78,76.7,76.1
new,google.adwords,paid_display,google_demandgen_250701,238,9.217,0.954,10.35,63.4,61.3
new,facebook.business,ig,meta_asc_completeregistration_250612,375,8.997,1.068,11.87,76.0,76.0
remind,alrimtalk.toss.join,crm,kakaoalrimktalk_p_lookupd1_apply_vip,74,8.221,0.621,7.55,44.6,43.2
new,kakaobank,paid_display,kakaobank_benefit.native_ceo,340,8.219,1.077,13.1,75.0,73.8
remind,alrimtalk,crm,kakaoalrimktalk_p_lookupd3_apply_vip,85,8.204,0.96,11.7,43.5,42.4
remind,alrimtalk,crm,Lookup,141,7.012,0.862,12.29,62.4,61.7
remind,alrimtalk,crm,kakaoalrimktalk_signupd3_lookup,204,6.616,0.697,10.54,65.7,65.2
new,sena,sena,sena_feedbanner,147,5.967,0.906,15.18,72.1,72.1
new,okpos,paid_display,okpos_appbanner_ad01,157,5.863,0.845,14.41,65.6,65.6
remind,alrimtalk,crm,kakaoalrimktalk_lookupd1_apply,774,5.663,1.449,25.59,82.3,82.2
new,share,organic,share_friendinvit_promo,130,5.625,0.49,8.71,71.5,70.8
new,cashnote,paid_display,cashnote_app_inappbanner,167,5.618,0.494,8.79,62.9,62.9
new,kakaobank,paid_display,kakaobank_hometop_basic,211,5.17,0.766,14.82,73.5,72.0
new,imbank,partner,imbank_inapppage_btn,194,4.997,0.736,14.73,73.2,73.2
new,yogiyo,partner,yogiyo_eventpage,159,4.812,0.537,11.16,71.1,69.8
remind,alrimtalk,crm,kakaoalrimtalk_notapply,137,4.523,0.545,12.05,67.2,67.2
new,cashnote,paid_display,cashnote_app_endbanner,159,4.315,0.557,12.91,65.4,64.8
remind,alrimtalk,crm,kakaoalrimtalk_notapply_payingcustomers_danny,218,3.964,0.789,19.9,88.1,88.1
new,facebook.business,ig,meta_asc_lwi_251013,62,3.909,0.235,6.01,67.7,67.7
remind,alrimtalk,crm,kakaoalrimtalk_tritx_notlookup,320,3.879,0.639,16.47,78.8,78.1
