window,matured,채널,매체,광고비,광고비vat제외,예상결제,공헌이익,신청환급금,조회환급금,신청건수,조회건수,노출,클릭,ROAS_expected,CPL_krw,CPC_krw,CTR_pct,신청전환율_pct
12M_cohort,True,02.partner,toss.join,3180543245,2891402950,5497629398,2317086153,97996675195,202024745324,37604,477498,0,0,1.729,84580,,,
12M_cohort,True,00.paid_display,google_pmax,601890712,494637454,547011497,-54879215,8422486507,17791356946,3168,33609,87144207,1040279,0.909,189991,579,1.194,0.305
12M_cohort,True,00.paid_display,meta,517967074,424792478,417888688,-100078386,6431184249,12838565718,2239,21376,37202058,220621,0.807,231339,2348,0.593,1.015
12M_cohort,True,00.paid_display,kakaobank,353650000,321499971,864257539,510607539,13296269835,27052318271,6048,68274,140945392,552766333,2.444,58474,1,392.185,0.001
12M_cohort,True,01.paid_msg,kbcardlms,286000000,260000000,872161381,586161381,13416309261,32674816387,4110,35371,2600000,0,3.05,69586,,0.0,
12M_cohort,True,01.paid_msg,hanacardlms,275000000,250000000,586499220,311499221,9022471845,21093445018,3110,27563,2530000,0,2.133,88424,,0.0,
12M_cohort,True,00.paid_display,cashnote,259338020,235761841,376743848,117405829,5790110349,11621228137,2048,18042,21141793,188051,1.453,126630,1379,0.889,1.089
12M_cohort,True,00.paid_display,tiktok,246774028,201499499,163861904,-82912124,2520952374,4191874463,1324,9427,38289152,592718,0.664,186385,416,1.548,0.223
12M_cohort,True,02.partner,banksalad,214843200,195312000,430756694,215913495,6627026071,14199874595,1109,24414,0,0,2.005,193727,,,
12M_cohort,True,00.paid_display,okpos,202999900,184545376,396934355,193934456,6108132992,14130756311,1764,14235,109904096,383961,1.955,115079,529,0.349,0.459
12M_cohort,True,01.paid_msg,wooricardlms,165000000,150000000,293218774,128218774,4511058062,11790478582,1677,14256,1402000,0,1.777,98390,,0.0,
12M_cohort,True,02.partner,zeropay,158925000,144477278,286514229,127589229,4407911224,11228650129,1828,17304,0,0,1.803,86939,,,
12M_cohort,True,01.paid_msg,shinhancardlms,154000000,140000000,412267445,258267445,6342747641,13323703927,2971,18654,1300000,0,2.677,51834,,0.0,
12M_cohort,True,00.paid_display,google_demandgen,146130367,120765848,127787811,-18342555,1965966334,3406649568,601,6174,31959915,125279,0.874,243145,1166,0.392,0.48
12M_cohort,True,03.crm,alrimtalk.toss.join,133180413,121073103,221967356,88786943,3956637368,320933125,1412,117,0,0,1.667,94320,,,
12M_cohort,True,02.partner,kbank,131999999,119032265,296430495,164430496,4560469167,8164966692,1525,13297,0,0,2.246,86557,,,
12M_cohort,True,03.crm,alrimtalk,123905941,101411608,4195353060,4071447118,64536147660,87412639819,23922,159519,17582777,0,33.859,5180,,0.0,
12M_cohort,True,01.paid_search,sa_naver,76260426,69327660,122579886,46319461,1888943972,4781462071,461,3282,25110789,55376,1.607,165424,1377,0.221,0.832
12M_cohort,True,02.partner,locaselly,71640600,65127818,45011589,-26629011,692485994,1228573881,188,2214,0,0,0.628,381067,,,
12M_cohort,True,01.paid_msg,cashnote,64302612,58456920,176288893,111986282,2711613462,4365121875,449,2240,502141,13994,2.742,143213,4595,2.787,3.209
12M_cohort,True,01.paid_msg,okpos,62700000,57000000,62744754,44754,965303914,1915655867,448,2522,427325,11946,1.001,139955,5249,2.796,3.75
12M_cohort,True,12.ownedmedia,meta,37605585,30913438,0,-37605585,0,0,0,2,4906820,67448,0.0,,558,1.375,0.0
12M_cohort,True,01.paid_msg,kakaopay,33000000,30000000,37911480,4911480,583253545,1160128036,231,1460,258360,8577,1.149,142857,3847,3.32,2.693
12M_cohort,True,01.paid_search,sa_google,31049189,25673364,36399081,5349891,559985864,1342349245,200,1163,702000,19651,1.172,155246,1580,2.799,1.018
12M_cohort,True,00.paid_display,youtuber_junseconomylab,30800000,27999999,15349897,-15450102,295190343,632914598,63,297,0,0,0.498,488889,,,
12M_cohort,True,00.paid_display,youtuber_danheetv,22176000,20160000,4282762,-17893237,65888661,207545513,23,204,0,0,0.193,964174,,,
12M_cohort,True,01.paid_search,bs_naver,21886333,19896774,428857523,406971190,6596452749,14243148142,1540,8282,113513,28396,19.595,14212,771,25.016,5.423
12M_cohort,True,02.partner,yogiyo,17152300,15553000,84651738,67499439,1302334441,2401450609,603,3313,0,0,4.935,28445,,,
12M_cohort,True,01.paid_msg,ktlms,16500000,15000000,43649590,27149591,671370425,1103508694,227,1346,165500,8535,2.645,72687,1933,5.157,2.66
12M_cohort,True,01.paid_msg,smartbill,16500000,15000000,25126259,8626259,386557832,1071798753,81,516,2423870,117195,1.523,203704,141,4.835,0.069
12M_cohort,True,01.paid_cpa,refund_pincrux,12147036,9954000,57940716,45793680,891395636,2318355126,351,5953,0,351209,4.77,34607,35,,0.1
12M_cohort,True,02.partner,naver_smartplace,11380870,9634215,62306335,50925465,958559008,1820742949,227,2083,0,0,5.475,50136,,,
12M_cohort,True,00.paid_display,ymyd,8800000,7999999,123500,-8676500,1900000,34296813,1,16,31961,2056,0.014,8800000,4280,6.433,0.049
12M_cohort,True,01.paid_msg,atlantruck,8299984,7545440,9977511,1677527,153500172,220374913,207,1110,0,8950,1.202,40097,927,,2.313
12M_cohort,True,00.paid_display,kakaopay,6936160,6305600,7190741,254581,110626791,160616401,37,214,6128745,15764,1.037,187464,440,0.257,0.235
12M_cohort,True,02.partner,finda,6923400,6294000,15744862,8821463,242228656,412437390,75,1031,0,0,2.274,92312,,,
12M_cohort,True,02.partner,zaritalk,6567000,0,5244952,-1322047,80691579,109339971,187,1990,0,0,0.799,35118,,,
12M_cohort,True,01.paid_msg,kakaobrandmsg,6528665,5935150,44878101,38349436,674363236,1460791018,384,2054,257356,18916,6.874,17002,345,7.35,2.03
