dimension,window,matured,utm_source,utm_medium,deals,deals_share_pct,apply_oku,apply_share_pct,filing_oku,decision_oku,payment_oku,filing_rate_pct,decision_rate_pct,payment_rate_pct,won_rate_pct,lost_rate_pct,open_rate_pct,yield_pct,avg_apply_manwon,avg_payment_per_deal_manwon,avg_lag_days
utm_source,12M_cohort,True,toss.join,,16338,32.1,429.93,27.0,223.24,182.14,63.79,91.9,82.8,72.3,72.8,17.0,10.3,14.84,263.1,54.0,80.5
utm_source,12M_cohort,True,alrimtalk,,11576,22.7,332.31,20.9,170.6,135.28,47.32,89.4,78.8,73.2,73.6,20.4,6.0,14.24,287.1,55.9,85.5
utm_source,12M_cohort,True,kakaobank,,2681,5.3,64.21,4.0,32.32,25.78,9.02,91.8,82.1,74.9,75.5,17.2,7.4,14.05,239.5,44.9,83.4
utm_source,12M_cohort,True,referer,,1857,3.6,82.51,5.2,36.65,28.64,9.96,84.9,73.8,68.9,69.7,24.8,5.5,12.07,444.3,77.8,82.1
utm_source,12M_cohort,True,kbcardlms,,1805,3.5,72.03,4.5,32.14,24.3,8.73,83.5,73.9,68.8,69.3,25.5,5.2,12.12,399.1,70.3,78.3
utm_source,12M_cohort,True,google.adwords,,1558,3.1,48.66,3.1,17.46,14.2,4.93,80.7,69.8,62.6,63.4,28.0,8.6,10.13,312.3,50.6,87.3
utm_source,12M_cohort,True,shinhancardlms,,1470,2.9,33.47,2.1,13.44,11.53,4.16,91.2,84.1,80.1,80.1,15.4,4.5,12.43,227.7,35.3,72.5
utm_source,12M_cohort,True,sms,,1455,2.9,107.18,6.7,43.78,33.01,11.53,84.1,73.3,67.1,68.0,26.0,6.0,10.76,736.6,118.1,87.3
utm_source,12M_cohort,True,kakaochannel,,1230,2.4,37.37,2.3,18.11,13.93,4.91,87.5,76.9,70.7,71.2,22.7,6.1,13.14,303.8,56.4,81.7
utm_source,12M_cohort,True,hanacardlms,,1222,2.4,41.05,2.6,16.71,13.27,4.64,84.7,75.0,68.3,68.6,24.8,6.6,11.3,335.9,55.6,84.2
utm_source,12M_cohort,True,naver.searchad,,1003,2.0,44.15,2.8,20.98,14.97,5.15,81.9,68.0,68.5,69.2,26.3,4.5,11.66,440.2,75.0,80.6
utm_source,12M_cohort,True,partner,,873,1.7,32.06,2.0,15.97,10.82,3.69,86.5,78.2,71.0,71.4,21.2,7.4,11.51,367.2,59.5,84.3
utm_source,12M_cohort,True,cashnote,,858,1.7,29.9,1.9,11.11,8.34,2.91,83.6,68.5,59.7,60.3,31.1,8.6,9.73,348.5,56.8,84.1
utm_source,12M_cohort,True,facebook.business,,854,1.7,25.96,1.6,10.16,8.07,2.85,87.6,76.6,72.1,72.0,22.6,5.4,10.98,304.0,46.3,85.2
utm_source,12M_cohort,True,okpos,,718,1.4,26.85,1.7,10.76,8.98,3.21,79.8,67.4,63.1,63.4,32.0,4.6,11.96,374.0,70.9,87.1
utm_source,12M_cohort,True,wooricardlms,,686,1.3,22.21,1.4,9.37,7.54,2.65,83.1,73.3,67.8,68.1,25.8,6.1,11.93,323.8,57.0,84.5
utm_source,12M_cohort,True,zeropay,,666,1.3,17.48,1.1,7.75,5.91,2.11,84.1,74.6,68.6,68.9,24.8,6.3,12.07,262.5,46.2,77.7
utm_source,12M_cohort,True,alrimtalk.toss.join,,642,1.3,21.46,1.3,9.05,6.71,2.35,92.2,81.5,75.2,75.5,18.4,6.1,10.95,334.3,48.7,72.3
utm_source,12M_cohort,True,tiktok,,530,1.0,11.4,0.7,5.33,3.59,1.24,93.0,84.0,73.4,73.8,16.0,10.2,10.88,215.1,31.9,100.7
utm_source,12M_cohort,True,banksalad,,405,0.8,22.42,1.4,9.25,6.91,2.45,82.7,69.4,65.4,65.4,30.1,4.4,10.93,553.6,92.5,84.6
utm_source,12M_cohort,True,bznav.homepage,,195,0.4,9.76,0.6,4.62,3.54,1.14,70.3,51.3,57.4,57.9,37.4,4.6,11.68,500.5,101.8,85.7
utm_source,12M_cohort,True,imbank,,194,0.4,5.0,0.3,2.61,2.09,0.74,88.7,77.8,73.2,73.2,20.1,6.7,14.8,257.7,52.1,77.2
utm_source,12M_cohort,True,kakaobrandmsg,,189,0.4,3.66,0.2,1.14,0.8,0.29,91.5,78.3,70.9,70.9,21.2,7.9,7.92,193.7,21.6,76.2
utm_source,12M_cohort,True,app_bznav,,180,0.4,9.36,0.6,3.22,2.88,1.01,91.1,78.3,76.1,76.7,18.3,5.0,10.79,520.0,73.7,79.1
utm_source,12M_cohort,True,yogiyo,,159,0.3,4.81,0.3,1.79,1.57,0.54,88.1,76.1,69.8,71.1,22.6,6.3,11.23,302.5,48.6,89.4
utm_source,12M_cohort,True,sena,,156,0.3,6.1,0.4,2.9,2.58,0.92,87.8,75.0,73.1,73.1,25.0,1.9,15.08,391.0,80.7,85.2
utm_source,12M_cohort,True,atlantruck,,136,0.3,1.36,0.1,0.72,0.67,0.22,99.3,92.6,83.8,83.1,8.8,8.1,16.18,100.0,19.3,76.6
utm_source,12M_cohort,True,refund_pincrux,,135,0.3,3.42,0.2,1.22,1.07,0.38,83.7,73.3,57.8,59.3,25.2,15.6,11.11,253.3,48.7,92.6
utm_source,12M_cohort,True,share,,133,0.3,6.05,0.4,2.21,1.55,0.5,88.7,78.9,71.4,72.2,19.5,8.3,8.26,454.9,52.6,79.9
utm_source,12M_cohort,True,kakaopay,,131,0.3,3.94,0.2,1.4,1.09,0.4,83.2,69.5,60.3,61.1,29.8,9.2,10.15,300.8,50.6,72.6
utm_source,12M_cohort,True,zaritalk,,124,0.2,0.52,0.0,0.36,0.3,0.11,99.2,84.7,82.3,82.3,12.9,4.8,21.15,41.9,10.8,72.9
utm_source,12M_cohort,True,ktlms,,85,0.2,3.23,0.2,0.96,0.84,0.31,82.4,69.4,65.9,65.9,30.6,3.5,9.6,380.0,55.4,61.5
utm_source,12M_cohort,True,barogo,,74,0.1,1.3,0.1,0.56,0.37,0.13,91.9,74.3,68.9,67.6,27.0,5.4,10.0,175.7,25.5,86.2
utm_source,12M_cohort,True,smartbill,,73,0.1,3.41,0.2,1.19,0.64,0.22,50.7,34.2,42.5,42.5,54.8,2.7,6.45,467.1,71.0,75.6
utm_source,12M_cohort,True,naver_smartplace,,55,0.1,2.61,0.2,1.14,0.84,0.28,89.1,74.5,72.7,72.7,25.5,1.8,10.73,474.5,70.0,81.5
utm_source,12M_cohort,True,(none),,45,0.1,1.61,0.1,0.69,0.69,0.21,53.3,37.8,46.7,46.7,48.9,4.4,13.04,357.8,100.0,81.7
utm_source,12M_cohort,True,baeminmartlms,,39,0.1,1.36,0.1,0.44,0.4,0.15,84.6,74.4,66.7,69.2,23.1,7.7,11.03,348.7,57.7,70.2
utm_source,12M_cohort,True,finda,,38,0.1,1.67,0.1,0.59,0.57,0.2,89.5,84.2,78.9,78.9,15.8,5.3,11.98,439.5,66.7,63.7
utm_source,12M_cohort,True,email,,38,0.1,2.35,0.1,0.55,0.52,0.13,65.8,34.2,52.6,55.3,44.7,0.0,5.53,618.4,65.0,94.3
utm_source,12M_cohort,True,toss.partner,,36,0.1,2.79,0.2,0.66,0.5,0.18,86.1,66.7,63.9,63.9,33.3,2.8,6.45,775.0,78.3,52.6
utm_source,12M_cohort,True,helpcenter,,28,0.1,1.49,0.1,0.95,0.59,0.21,78.6,60.7,67.9,67.9,28.6,3.6,14.09,532.1,110.5,67.7
utm_source,12M_cohort,True,signalplanner,,23,0.0,0.21,0.0,0.11,0.1,0.03,100.0,91.3,91.3,91.3,8.7,0.0,14.29,91.3,14.3,72.7
utm_source,12M_cohort,True,kbcardevent,,23,0.0,0.45,0.0,0.15,0.14,0.05,91.3,78.3,78.3,78.3,21.7,0.0,11.11,195.7,27.8,72.4
utm_source,12M_cohort,True,care_kakaochannel,,22,0.0,0.43,0.0,0.25,0.17,0.06,95.5,77.3,72.7,72.7,22.7,4.5,13.95,195.5,37.5,75.2
utm_source,12M_cohort,True,samsungcard,,21,0.0,0.67,0.0,0.09,0.09,0.03,71.4,66.7,61.9,61.9,33.3,4.8,4.48,319.0,23.1,58.2
utm_source,12M_cohort,True,cafe_naver,,19,0.0,1.89,0.1,0.68,0.31,0.11,63.2,57.9,52.6,52.6,42.1,5.3,5.82,994.7,110.0,78.7
utm_source,12M_cohort,True,taehoonkim,,15,0.0,0.46,0.0,0.31,0.13,0.04,80.0,53.3,60.0,60.0,33.3,6.7,8.7,306.7,44.4,70.3
utm_source,12M_cohort,True,naverpay,,13,0.0,0.35,0.0,0.38,0.19,0.07,100.0,76.9,69.2,69.2,15.4,15.4,20.0,269.2,77.8,73.3
utm_source,12M_cohort,True,kakao,,12,0.0,0.66,0.0,0.06,,,66.7,0.0,0.0,0.0,25.0,75.0,0.0,550.0,,
utm_source,12M_cohort,True,care_service,,12,0.0,0.16,0.0,0.12,0.11,0.04,91.7,83.3,83.3,83.3,16.7,0.0,25.0,133.3,40.0,90.1
utm_source,12M_cohort,True,bznav_app,,12,0.0,0.22,0.0,0.1,0.08,0.03,91.7,66.7,58.3,58.3,33.3,8.3,13.64,183.3,42.9,189.4
utm_source,12M_cohort,True,sendy,,11,0.0,0.1,0.0,0.07,0.07,0.03,100.0,100.0,90.9,90.9,0.0,9.1,30.0,90.9,30.0,64.0
utm_source,12M_cohort,True,lms,,11,0.0,0.58,0.0,0.14,0.11,0.04,45.5,45.5,36.4,36.4,54.5,9.1,6.9,527.3,100.0,54.0
utm_source,12M_cohort,True,refund_operation,,9,0.0,0.81,0.1,0.4,0.4,0.08,88.9,88.9,88.9,88.9,11.1,0.0,9.88,900.0,100.0,81.0
utm_source,12M_cohort,True,instagram,,9,0.0,0.45,0.0,0.28,0.05,0.02,66.7,55.6,55.6,55.6,44.4,0.0,4.44,500.0,40.0,73.2
utm_source,12M_cohort,True,friendtalk,,8,0.0,0.28,0.0,0.16,0.16,0.06,75.0,75.0,75.0,75.0,25.0,0.0,21.43,350.0,100.0,90.2
utm_source,12M_cohort,True,hyundaicard,,7,0.0,0.16,0.0,0.16,0.11,0.04,85.7,71.4,71.4,71.4,14.3,14.3,25.0,228.6,80.0,160.6
utm_source,12M_cohort,True,pass,,6,0.0,0.28,0.0,0.22,0.22,0.08,83.3,66.7,50.0,50.0,33.3,16.7,28.57,466.7,266.7,193.0
utm_source,12M_cohort,True,portal,,4,0.0,0.19,0.0,0.07,0.03,0.01,50.0,25.0,25.0,25.0,75.0,0.0,5.26,475.0,100.0,63.0
utm_source,12M_cohort,True,channeltalk,,4,0.0,0.19,0.0,0.21,0.21,0.08,100.0,100.0,50.0,50.0,0.0,50.0,42.11,475.0,400.0,78.0
utm_source,12M_cohort,True,payhere,,3,0.0,0.03,0.0,0.03,0.01,0.0,100.0,66.7,66.7,66.7,33.3,0.0,0.0,100.0,0.0,76.5
utm_source,12M_cohort,True,paid_search,,3,0.0,0.15,0.0,0.04,0.04,0.02,100.0,100.0,66.7,66.7,0.0,33.3,13.33,500.0,100.0,77.5
utm_source,12M_cohort,True,lgupluslms,,3,0.0,0.05,0.0,0.04,0.02,0.01,100.0,33.3,33.3,33.3,33.3,33.3,20.0,166.7,100.0,243.0
utm_source,12M_cohort,True,alrimtalk_manual,,3,0.0,0.2,0.0,0.3,,,100.0,0.0,0.0,0.0,33.3,66.7,0.0,666.7,,
utm_source,12M_cohort,True,yujinkim,,2,0.0,0.04,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,50.5
utm_source,12M_cohort,True,youtube,,2,0.0,0.35,0.0,0.18,0.18,0.06,100.0,100.0,100.0,100.0,0.0,0.0,17.14,1750.0,300.0,80.0
utm_source,12M_cohort,True,ymyd,,2,0.0,0.44,0.0,0.18,,,50.0,0.0,0.0,0.0,100.0,0.0,0.0,2200.0,,
